filename,processing_time,file_size_mb,megapixels,width,height,codes_found,strategies_used,preprocessing_complexity,rotation_attempts,pixels_per_second,time_per_megapixel,overall_quality_score,contrast_score,contrast_category,sharpness_score,sharpness_category
05102009225.jpg,0.48431,0.16930103302001953,1.92,1600,1200,1,1,basic,0,3964402.9650430507,0.2522447916666667,42.77913352873616,0.18449979762592153,medium,62.223698436950656,blurred
06102009240.jpg,0.495299,0.13164043426513672,1.92,1600,1200,1,1,basic,0,3876446.3485692483,0.2579682291666667,48.44969949981449,0.25458642649308094,medium,22.33368622371418,blurred
05102009227.jpg,0.503704,0.16147708892822266,1.92,1600,1200,1,1,basic,0,3811762.4636691385,0.2623458333333334,40.8783540669433,0.16870923733665447,medium,76.24123254501707,blurred
05102009226.jpg,0.525522,0.1966571807861328,1.92,1600,1200,1,1,basic,0,3653510.2241200176,0.27370937500000003,43.56203815624485,0.1782564377259748,medium,215.22103843604168,moderate
06102009247.jpg,0.548968,0.16343116760253906,1.92,1600,1200,1,1,basic,0,3497471.6194750876,0.28592083333333335,49.38740533444148,0.26442522916291084,medium,139.3552559991047,moderate
05102009142.jpg,0.550992,0.17249298095703125,1.92,1600,1200,1,1,basic,0,3484624.096175625,0.28697500000000004,44.74912049595057,0.21108165634179002,medium,126.76272911124568,moderate
05102009223.jpg,0.551357,0.1979227066040039,1.92,1600,1200,1,1,basic,0,3482317.2644946924,0.2871651041666667,44.71175149364235,0.17980784914292416,medium,161.30507630884082,moderate
05102009228.jpg,0.560816,0.2013101577758789,1.92,1200,1600,1,1,basic,0,3423582.77937862,0.2920916666666667,44.719022284644275,0.16983157601992674,medium,203.07813092193985,moderate
06102009253.jpg,0.566106,0.16499042510986328,1.92,1600,1200,1,1,basic,0,3391590.97412852,0.294846875,43.71099863972486,0.23795319944839113,medium,71.58864188327881,blurred
05102009224.jpg,0.572277,0.21099090576171875,1.92,1600,1200,1,1,basic,0,3355018.6360800797,0.2980609375,46.680482991395344,0.19181359054134658,medium,211.29979786173502,moderate
06102009250.jpg,0.572335,0.19576263427734375,1.92,1600,1200,1,1,basic,0,3354678.6410057046,0.29809114583333335,47.042762944072614,0.2559487544056494,medium,237.51269150257127,moderate
06102009242.jpg,0.573159,0.16152667999267578,1.92,1600,1200,1,1,basic,0,3349855.799176145,0.2985203125,45.35878877904494,0.247465717601747,medium,95.45748851157529,blurred
06102009241.jpg,0.577935,0.17373180389404297,1.92,1600,1200,1,1,basic,0,3322172.9087181087,0.30100781249999997,47.89048757712955,0.2524081529648425,medium,149.42502640950485,moderate
05102009166.jpg,0.579174,0.1977386474609375,1.92,1600,1200,1,1,basic,0,3315065.938733438,0.30165312499999997,46.65242909686292,0.2327444437089244,medium,67.69875726388888,blurred
06102009249.jpg,0.583589,0.17171955108642578,1.92,1600,1200,1,1,basic,0,3289986.61729402,0.3039526041666667,45.25900543364463,0.25678265267165323,medium,138.09584185025375,moderate
06102009251.jpg,0.585289,0.18593406677246094,1.92,1600,1200,1,1,basic,0,3280430.693213097,0.30483802083333333,48.94063568919763,0.26191081838125985,medium,184.51050650882135,moderate
05102009229.jpg,0.586436,0.20151710510253906,1.92,1200,1600,1,1,basic,0,3274014.555723046,0.3054354166666667,43.0868281915116,0.17954761856987372,medium,187.0809682281573,moderate
05102009153.jpg,0.589383,0.15139007568359375,1.92,1600,1200,1,1,basic,0,3257644.0107705854,0.3069703125,45.65458279309101,0.20707920354068146,medium,143.86779061234373,moderate
05102009164.jpg,0.596621,0.1999673843383789,1.92,1600,1200,1,1,basic,0,3218123.3982712645,0.31074010416666664,47.04064934548636,0.22061532981510798,medium,99.09505725843643,blurred
06102009244.jpg,0.599792,0.1872262954711914,1.92,1600,1200,1,1,basic,0,3201109.7180355857,0.3123916666666667,43.785226464368364,0.24039129408955986,medium,138.05508351626926,moderate
05102009218.jpg,0.605885,0.18814468383789062,1.92,1600,1200,1,1,basic,0,3168918.194046725,0.31556510416666667,50.369157782876,0.24527242154873066,medium,191.7026921632483,moderate
05102009143.jpg,0.610207,0.19829845428466797,1.92,1600,1200,1,1,basic,0,3146473.245964074,0.3178161458333334,48.18820599657421,0.2114924829853045,medium,241.03011861321366,moderate
06102009243.jpg,0.614956,0.20781421661376953,1.92,1600,1200,1,1,basic,0,3122174.5946051427,0.3202895833333333,48.732156300888086,0.25360112215673747,medium,207.69865475092203,moderate
05102009215.jpg,0.616807,0.19171810150146484,1.92,1600,1200,1,1,basic,0,3112805.1400194876,0.3212536458333333,50.896076800897674,0.26161959393339285,medium,126.25667424081601,moderate
05102009144.jpg,0.618583,0.2224893569946289,1.92,1600,1200,1,1,basic,0,3103868.0338774263,0.32217864583333333,45.97652397090763,0.18955095262205907,medium,262.01984355098716,moderate
05102009216.jpg,0.619618,0.2013111114501953,1.92,1600,1200,1,1,basic,0,3098683.382342024,0.32271770833333335,49.80869363551592,0.27448589125984296,medium,181.9080416258291,moderate
05102009219.jpg,0.619893,0.20616817474365234,1.92,1600,1200,1,1,basic,0,3097308.7290871167,0.3228609375,44.90377076022777,0.24596649034215035,medium,89.72993697395387,blurred
05102009161.jpg,0.621623,0.2433147430419922,1.92,1600,1200,1,1,basic,0,3088688.8033422185,0.3237619791666667,46.843910838903966,0.19769377251391074,medium,314.04279793502576,moderate
06102009252.jpg,0.629568,0.2164297103881836,1.92,1600,1200,1,1,basic,0,3049710.277523635,0.3279,50.097926305027826,0.2559036328644786,medium,225.96393696277957,moderate
06102009246.jpg,0.640383,0.198333740234375,1.92,1600,1200,1,1,basic,0,2998205.7612397578,0.33353281250000005,49.67743207134038,0.24239567587821015,medium,230.969738445308,moderate
05102009203.jpg,0.640579,0.20097923278808594,1.92,1600,1200,1,1,basic,0,2997288.3906590757,0.33363489583333333,44.519564577273165,0.2137200662035289,medium,395.2715816896676,moderate
05102009163.jpg,0.642132,0.232696533203125,1.92,1600,1200,1,1,basic,0,2990039.431144998,0.33444375000000004,44.509380015905,0.1807224180938881,medium,187.6064385330922,moderate
05102009171.jpg,0.642848,0.22536849975585938,1.92,1600,1200,1,1,basic,0,2986709.1443078304,0.33481666666666665,43.544764842365254,0.1906909303355938,medium,127.0766120882639,moderate
05102009141.jpg,0.644727,0.22473907470703125,1.92,1600,1200,1,1,basic,0,2978004.643825991,0.33579531250000005,46.87222500071332,0.2133657387946685,medium,318.8952606256769,moderate
05102009145.jpg,0.646329,0.23427677154541016,1.92,1600,1200,1,1,basic,0,2970623.320321384,0.33662968750000005,46.484572900187985,0.21477435057823585,medium,228.69585957760387,moderate
