filename,processing_time,codes_found,detection_success,megapixels,file_size_mb,strategies_used,overall_quality_score,resolution_category,contrast_score,contrast_category,sharpness_score,sharpness_category,brightness,lighting_category,noise_level,noise_category,has_qr_code,has_barcode,resolution_range,contrast_range
05102009131.jpg,3.500387,1,1,3.145728,0.4525432586669922,1,43.237203044830665,high,0.19509860400928838,medium,114.34083102689927,moderate,151.39574241638184,optimal,0.7504310794847213,low,False,True,> 1920x1080,Low (<0.4)
05102009132.jpg,1.187418,1,1,3.145728,0.48389434814453125,1,44.82674860684192,high,0.20508009627848142,medium,164.99018561864526,moderate,150.14582443237305,optimal,0.8727222551159688,low,False,True,> 1920x1080,Low (<0.4)
05102009133.jpg,1.041745,1,1,3.145728,0.4902048110961914,1,46.5456729793888,high,0.2130536092204748,medium,150.0651801249791,moderate,138.0679006576538,optimal,0.8745868471645953,low,False,True,> 1920x1080,Low (<0.4)
05102009134.jpg,1.011765,1,1,3.145728,0.4329862594604492,1,44.79292260899181,high,0.19514594235261226,medium,106.65708350895555,moderate,140.63004366556802,optimal,0.692538344909268,low,False,True,> 1920x1080,Low (<0.4)
05102009135.jpg,0.988657,1,1,3.145728,0.4587087631225586,1,43.581989858975525,high,0.20962278860718123,medium,82.71731590109245,blurred,146.53154468536377,optimal,0.7411724109291595,low,False,True,> 1920x1080,Low (<0.4)
05102009137.jpg,1.224002,1,1,3.145728,0.5876436233520508,1,43.348201544624004,high,0.19247279156337774,medium,321.98014250259774,moderate,180.03837521870932,optimal,1.2718080472278401,low,False,True,> 1920x1080,Low (<0.4)
05102009138.jpg,1.361735,1,1,3.145728,0.6199254989624023,1,44.786064655848044,high,0.21258528518181277,medium,283.56774679326264,moderate,167.5016533533732,optimal,1.3429919900585365,low,False,True,> 1920x1080,Low (<0.4)
05102009139.jpg,1.431756,1,1,3.145728,0.562647819519043,1,46.04300648715406,high,0.2068423772460143,medium,269.6321743607825,moderate,157.30915705362955,optimal,1.1929110985249523,low,False,True,> 1920x1080,Low (<0.4)
05102009140.jpg,1.739721,1,1,3.145728,0.582463264465332,1,45.110471108727396,high,0.1842891164740928,medium,282.92022214478646,moderate,161.14547856648764,optimal,1.2920402286680936,low,False,True,> 1920x1080,Low (<0.4)
05102009141.jpg,0.644727,1,1,1.92,0.22473907470703125,1,46.87222500071332,medium,0.2133657387946685,medium,318.8952606256769,moderate,162.7624734375,optimal,0.9029316024423721,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009142.jpg,0.550992,1,1,1.92,0.17249298095703125,1,44.74912049595057,medium,0.21108165634179002,medium,126.76272911124568,moderate,165.3290875,optimal,0.5652783672962525,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009143.jpg,0.610207,1,1,1.92,0.19829845428466797,1,48.18820599657421,medium,0.2114924829853045,medium,241.03011861321366,moderate,142.91767447916666,optimal,0.7064003015586805,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009144.jpg,0.618583,1,1,1.92,0.2224893569946289,1,45.97652397090763,medium,0.18955095262205907,medium,262.01984355098716,moderate,155.64681458333334,optimal,0.8975593321113391,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009145.jpg,0.646329,1,1,1.92,0.23427677154541016,1,46.484572900187985,medium,0.21477435057823585,medium,228.69585957760387,moderate,151.48352708333334,optimal,0.8400604582831682,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009146.jpg,0.689672,1,1,1.92,0.2503929138183594,1,47.555763244706604,medium,0.22101727499943735,medium,333.34132030564206,moderate,161.06246927083333,optimal,1.0385005758288774,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009148.jpg,1.713382,1,1,1.92,0.18035888671875,1,49.56193385669495,medium,0.2568773746951418,medium,138.48883615123273,moderate,125.772465625,optimal,0.5531422039231213,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009149.jpg,2.201876,1,1,1.92,0.25202083587646484,1,56.99201118000455,medium,0.2736791756556371,medium,506.5507430403509,sharp,136.96290625,optimal,1.029359336414764,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009150.jpg,1.195797,1,1,1.92,0.2355661392211914,1,52.715750210899,medium,0.27212017904021163,medium,315.59446509965244,moderate,134.11126041666665,optimal,0.9400554350812684,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009151.jpg,0.744833,1,1,1.92,0.23128223419189453,1,51.640070724663715,medium,0.2616116962656874,medium,266.91499114571377,moderate,131.74690208333334,optimal,0.9069157416670725,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009152.jpg,0.755459,1,1,1.92,0.24244976043701172,1,58.51794151762567,medium,0.2897007502418125,high,541.0376152770809,sharp,136.46716979166666,optimal,0.8439027510656241,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009153.jpg,0.589383,1,1,1.92,0.15139007568359375,1,45.65458279309101,medium,0.20707920354068146,medium,143.86779061234373,moderate,144.43092239583333,optimal,0.4632610966823392,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009154.jpg,1.484816,1,1,1.92,0.1848306655883789,1,43.78781753761645,medium,0.2005437371473921,medium,163.29296231222233,moderate,157.00950677083333,optimal,0.6791577103118216,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009155.jpg,1.911436,1,1,1.92,0.16213607788085938,1,45.901658051725306,medium,0.20473113134390072,medium,136.8475304374541,moderate,140.5417296875,optimal,0.5920469732007194,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009156.jpg,1.628121,1,1,1.92,0.14780330657958984,1,43.527668909108314,medium,0.20896058773623777,medium,103.64425569420543,moderate,152.05778802083333,optimal,0.4352501341691074,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009157.jpg,2.302743,1,1,1.92,0.1761007308959961,1,46.24297773808135,medium,0.19525974219582287,medium,179.5904136175453,moderate,143.769425,optimal,0.5762094905861938,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009158.jpg,1.107817,1,1,1.92,0.34612083435058594,1,61.08863732254025,medium,0.2904542521345986,high,704.739605645482,sharp,111.15647708333333,optimal,1.2275192526807166,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009159.jpg,2.861497,1,1,1.92,0.38187122344970703,2,66.62741332625225,medium,0.27024793149849696,medium,1124.4948904253026,sharp,108.14743229166666,optimal,2.0930880657853344,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009160.jpg,0.873634,1,1,1.92,0.3548860549926758,1,56.61372241546836,medium,0.2771827083671523,high,521.7952816872762,sharp,115.43863802083334,optimal,1.4687489862191532,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009161.jpg,0.621623,1,1,1.92,0.2433147430419922,1,46.843910838903966,medium,0.19769377251391074,medium,314.04279793502576,moderate,159.88087239583334,optimal,0.8701508896397021,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009162.jpg,0.656415,1,1,1.92,0.2704782485961914,1,48.85993361883635,medium,0.19943845405945954,medium,367.0454114618163,moderate,154.286509375,optimal,1.1003576270386821,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009163.jpg,0.642132,1,1,1.92,0.232696533203125,1,44.509380015905,medium,0.1807224180938881,medium,187.6064385330922,moderate,152.1934875,optimal,0.8253531644753864,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009164.jpg,0.596621,1,1,1.92,0.1999673843383789,1,47.04064934548636,medium,0.22061532981510798,medium,99.09505725843643,blurred,137.83547395833332,optimal,0.5847543202669936,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009165.jpg,0.693417,1,1,1.92,0.24199485778808594,1,45.95742761264025,medium,0.20689630482383412,medium,173.55841926030564,moderate,145.03598020833334,optimal,0.8031984959991846,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009166.jpg,0.579174,1,1,1.92,0.1977386474609375,1,46.65242909686292,medium,0.2327444437089244,medium,67.69875726388888,blurred,129.5721640625,optimal,0.5336055843201587,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009168.jpg,1.903036,1,1,1.92,0.2066497802734375,1,45.687647604873135,medium,0.20805094596032908,medium,148.22715677057263,moderate,143.83356458333333,optimal,0.6571771856216365,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009169.jpg,2.231492,1,1,1.92,0.18568897247314453,1,45.79038018541273,medium,0.18867812547796295,medium,116.52015304278405,moderate,156.95303541666667,optimal,0.5253568863657059,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009170.jpg,0.93942,1,1,1.92,0.2204132080078125,1,44.8025507979724,medium,0.19356421052844153,medium,105.30442442134984,moderate,147.70689427083335,optimal,0.6996667418326931,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009171.jpg,0.642848,1,1,1.92,0.22536849975585938,1,43.544764842365254,medium,0.1906909303355938,medium,127.0766120882639,moderate,150.92865625,optimal,0.7243403848978589,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009172.jpg,0.673451,1,1,1.92,0.22388744354248047,1,43.84689806343785,medium,0.18357201460213576,medium,174.31969871286336,moderate,160.34656041666668,optimal,0.698177790639719,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009173.jpg,0.738706,1,1,1.92,0.22437191009521484,1,43.88430141233942,medium,0.18820554685060117,medium,153.35847655950928,moderate,160.9583,optimal,0.6681526086466173,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009175.jpg,2.381754,1,1,1.92,0.23868179321289062,1,49.73029733972402,medium,0.21517022399855754,medium,299.44003174364553,moderate,112.55614479166667,optimal,0.7908249035042659,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009176.jpg,2.349616,1,1,1.92,0.2119150161743164,1,45.06542534614431,medium,0.20526381050092588,medium,69.12315962530819,blurred,135.33844895833334,optimal,0.5646882860965159,low,False,True,800x600 - 1920x1080,Low (<0.4)
