filename,processing_time,file_size_mb,megapixels,width,height,codes_found,strategies_used,preprocessing_complexity,rotation_attempts,pixels_per_second,time_per_megapixel
06102009240.jpg,0.552349,0.13164043426513672,1.92,1600,1200,1,1,basic,0,3380269.787782437,0.29583437500000004
05102009225.jpg,0.561046,0.16930103302001953,1.92,1600,1200,1,1,basic,0,3306792.875928098,0.3024078125
05102009227.jpg,0.573385,0.16147708892822266,1.92,1600,1200,1,1,basic,0,3261152.035927025,0.30664010416666665
05102009226.jpg,0.595507,0.1966571807861328,1.92,1600,1200,1,1,basic,0,3149533.967395762,0.3175072916666667
06102009250.jpg,0.63688,0.19576263427734375,1.92,1600,1200,1,1,basic,0,2933523.60493382,0.34088697916666666
06102009247.jpg,0.640393,0.16343116760253906,1.92,1600,1200,1,1,basic,0,2916116.0978721464,0.34292187500000004
06102009241.jpg,0.64084,0.17373180389404297,1.92,1600,1200,1,1,basic,0,2915890.234956968,0.3429484375
05102009228.jpg,0.641471,0.2013101577758789,1.92,1200,1600,1,1,basic,0,2912064.744906162,0.34339895833333334
06102009242.jpg,0.644679,0.16152667999267578,1.92,1600,1200,1,1,basic,0,2902064.3955997447,0.3445822916666667
06102009249.jpg,0.64946,0.17171955108642578,1.92,1600,1200,1,1,basic,0,2880059.0412103445,0.34721510416666673
05102009229.jpg,0.677853,0.20151710510253906,1.92,1200,1600,1,1,basic,0,2761457.531803505,0.36212760416666673
06102009244.jpg,0.693349,0.1872262954711914,1.92,1600,1200,1,1,basic,0,2706882.6721443445,0.36942864583333335
06102009245.jpg,0.713117,0.2065134048461914,1.92,1600,1200,1,1,basic,0,2629989.2745749895,0.3802296875
06102009243.jpg,0.719584,0.20781421661376953,1.92,1600,1200,1,1,basic,0,2598534.534794648,0.3848322916666667
06102009246.jpg,0.720889,0.198333740234375,1.92,1600,1200,1,1,basic,0,2600871.8339126594,0.3844864583333334
06102009248.jpg,0.72804,0.2098674774169922,1.92,1600,1200,1,1,basic,0,2572095.708753029,0.38878802083333336
06102009251.jpg,0.861485,0.18593406677246094,1.92,1600,1200,1,1,basic,0,2169092.0203397567,0.4610223958333334
06102009253.jpg,0.920302,0.16499042510986328,1.92,1600,1200,1,1,basic,0,2035616.9350606392,0.4912515625
06102009255.jpg,1.057617,0.2073974609375,1.92,1600,1200,1,1,basic,0,1774196.5292280398,0.5636354166666666
06102009252.jpg,1.131512,0.2164297103881836,1.92,1600,1200,1,1,basic,0,1650664.3924179482,0.6058166666666667
