filename,processing_time,file_size_mb,megapixels,width,height,codes_found,strategies_used,preprocessing_complexity,rotation_attempts,pixels_per_second,time_per_megapixel
qr_simple.png,0.032691,0.00043773651123046875,0.09,300,300,1,1,basic,0,2625820.56892779,0.38083333333333336
temp_barcode.png,0.038588,0.00542449951171875,0.08344,298,280,1,1,basic,0,2074383.4526650754,0.4820709491850432
temp_qr.png,0.04208,0.00043392181396484375,0.09,300,300,1,1,basic,0,2070679.182771949,0.4829333333333334
qr_url.png,0.054676,0.0005388259887695312,0.09,300,300,1,1,basic,0,1611343.8607798903,0.6206
barcode_code128.png,0.089871,0.0046672821044921875,0.098,350,280,1,1,basic,0,1063321.9044312313,0.9404489795918367
combined.png,0.10102,0.008022308349609375,0.24,600,400,2,1,basic,0,2265112.547779718,0.44147916666666664
barcode_ean13.png,0.11712,0.006548881530761719,0.14644,523,280,1,1,basic,0,1208819.3292224891,0.8272534826550124
05102009225.jpg,0.575775,0.16930103302001953,1.92,1600,1200,1,1,basic,0,3230012.1966606383,0.30959635416666664
05102009227.jpg,0.60093,0.16147708892822266,1.92,1600,1200,1,1,basic,0,3123373.2431025505,0.3201666666666667
06102009240.jpg,0.63002,0.13164043426513672,1.92,1600,1200,1,1,basic,0,2974959.2105201995,0.33613906250000003
05102009226.jpg,0.630093,0.1966571807861328,1.92,1600,1200,1,1,basic,0,2971869.398722715,0.3364885416666667
06102009249.jpg,0.655048,0.17171955108642578,1.92,1600,1200,1,1,basic,0,2864414.71951114,0.3491114583333333
06102009247.jpg,0.655629,0.16343116760253906,1.92,1600,1200,1,1,basic,0,2859819.6824110663,0.34967239583333337
06102009250.jpg,0.67171,0.19576263427734375,1.92,1600,1200,1,1,basic,0,2792995.4002857003,0.35803854166666665
06102009242.jpg,0.67348,0.16152667999267578,1.92,1600,1200,1,1,basic,0,2794849.3255970352,0.35780104166666665
06102009241.jpg,0.678317,0.17373180389404297,1.92,1600,1200,1,1,basic,0,2766152.0951441065,0.3615130208333333
06102009251.jpg,0.688777,0.18593406677246094,1.92,1600,1200,1,1,basic,0,2728342.361493995,0.3665229166666667
06102009253.jpg,0.705939,0.16499042510986328,1.92,1600,1200,1,1,basic,0,2666288.942399827,0.37505312500000004
06102009244.jpg,0.712031,0.1872262954711914,1.92,1600,1200,1,1,basic,0,2637942.404924159,0.3790833333333334
06102009252.jpg,0.727887,0.2164297103881836,1.92,1600,1200,1,1,basic,0,2582776.6463183328,0.38718020833333333
06102009248.jpg,0.730616,0.2098674774169922,1.92,1600,1200,1,1,basic,0,2573726.54155496,0.3885416666666667
06102009245.jpg,0.748777,0.2065134048461914,1.92,1600,1200,1,1,basic,0,2514333.0076922877,0.3977197916666667
06102009243.jpg,0.749339,0.20781421661376953,1.92,1600,1200,1,1,basic,0,2504343.470707007,0.39930625000000003
06102009246.jpg,0.76318,0.198333740234375,1.92,1600,1200,1,1,basic,0,2468469.1634203726,0.405109375
06102009255.jpg,0.771916,0.2073974609375,1.92,1600,1200,1,1,basic,0,2436640.9888701346,0.41040104166666663
05102009229.jpg,1.407879,0.20151710510253906,1.92,1200,1600,1,1,basic,0,1333390.743212555,0.7499677083333334
05102009228.jpg,1.48993,0.2013101577758789,1.92,1200,1600,1,1,basic,0,1269461.774654667,0.7877354166666667
